,ID,TimeStamp,Tweets,Likes,Retweet_count
0,1275275221453336581,2022-08-01 05:43:34+00:00,ambani01: Smt DroupadiMurmu journey frm schoolteacher to President is a stirring story of overcoming social chall…,0,1
1,1311932723846508544,2022-08-01 05:41:48+00:00,President DroupadiMurmu congratulates weightlifter AchintaSheuli for winning a Gold Medal in the CommonwealthGames2022…,0,2
2,401471773,2022-08-01 05:41:48+00:00,"Even as there was celebration at DroupadiMurmu's election, how many people in India really know about the lives of the Ad…",0,3
3,1275275221453336581,2022-08-01 05:39:40+00:00,Smt DroupadiMurmu journey frm schoolteacher to President is a stirring story of overcoming social challenge As the first President to be born in independent India she represents the new and equitable India thats lending wings to an unstoppable nation on the rise,3,1
4,1234534367206223872,2022-08-01 05:37:59+00:00,digital: President Murmu lauds Achinta Sheuli over his gold medal lift at CWGRead Story | DroupadiM…,0,2
5,1463088029250179072,2022-08-01 05:35:21+00:00,"India: WeekNamaHighlights by MIB(31st July, 2022)➡️On July 25th, Smt. DroupadiMurmu was sworn in as the 15th President of In…",0,7
6,1489303529311268866,2022-08-01 05:33:52+00:00,digital: President Murmu lauds Achinta Sheuli over his gold medal lift at CWGRead Story | DroupadiM…,0,2
7,1426585092621705217,2022-08-01 05:32:39+00:00,President Murmu lauds Achinta Sheuli over his gold medal lift at CWGDroupadiMurmu AchintaSheuli CWG2022 CommonwealthGames2022,1,0
8,817976607398731776,2022-08-01 05:32:31+00:00,President Murmu lauds Achinta Sheuli over his gold medal lift at CWGRead Story | DroupadiMurmu AchintaSheuli CWG2022 CommonwealthGames2022,19,2
9,2357477113,2022-08-01 05:24:39+00:00,"Even as there was celebration at DroupadiMurmu's election, how many people in India really know about the lives of the Ad…",0,3
10,2982537975,2022-08-01 05:14:15+00:00,President DroupadiMurmu congratulates weightlifter AchintaSheuli for winning a Gold Medal in the CommonwealthGames202…,0,1
11,1258963311774834688,2022-08-01 05:06:42+00:00,“My nomination is proof that the poor in India can not only dream but also fulfil those dreams.” A powerful message b…,0,354
12,284920800,2022-08-01 05:01:54+00:00,President DroupadiMurmu congratulated weightlifter AchintaSheuli on winning gold at the CommonwealthGames2022,0,0
13,828841083257778176,2022-08-01 04:49:22+00:00,"CWG 2022: Prime Minister Narendra Modi, President Droupadi Murmu Congratulate Weightlifter Achinta Sheuli for Winning GoldCWG2022 CWG2022India CommonwealthGames2022 achintasehuli DroupadiMurmu NarendraModi",0,0
14,2475310945,2022-08-01 04:42:25+00:00,india: The President DroupadiMurmu () and Prime Minister NarendraModi () congratulated weightlifter…,0,1
15,990482627953078272,2022-08-01 04:42:10+00:00,"When will you brains 🧠 be grown Mona, being women insulting two other women. Remember you have insulted …",0,7
16,714779943419383808,2022-08-01 04:37:51+00:00,"Even as there was celebration at DroupadiMurmu's election, how many people in India really know about the lives of the Ad…",0,3
17,1203927655562633216,2022-08-01 04:33:19+00:00,"In Kakkur, Kerala our volunteers organized a welcome program between students in honour of Smt. DroupadiMurmu Ji, Hon’bl…",0,20
18,746213997158883329,2022-08-01 04:32:12+00:00,"India: WeekNamaHighlights by MIB(31st July, 2022)➡️On July 25th, Smt. DroupadiMurmu was sworn in as the 15th President of In…",0,7
19,372677761,2022-08-01 04:30:00+00:00,"Even as there was celebration at DroupadiMurmu's election, how many people in India really know about the lives of the Adivasi tribes? Or the challenges they face to survive as their lands are snatched away for so-called “development”?✍️",1,3
20,141584822,2022-08-01 04:28:49+00:00,The President DroupadiMurmu () and Prime Minister NarendraModi () congratulated weightlifter AchintaSheuli on winning gold at the CommonwealthGames in Birmingham.,4,1
21,1267113091671695361,2022-08-01 04:28:24+00:00,"The atmosphere was electric to say the least as we celebrated the victory of Smt DroupadiMurmu, India's first tribal P…",0,379
22,1267113091671695361,2022-08-01 04:28:22+00:00,“My nomination is proof that the poor in India can not only dream but also fulfil those dreams.” A powerful message b…,0,354
23,1438867170398818304,2022-08-01 04:26:58+00:00,President DroupadiMurmu and Prime Minister congratulate PGururaja for winning the bronze medal in Weight…,0,87
24,1136860920540323840,2022-08-01 03:59:36+00:00,Congratulations India ❤️PresidentofIndia DroupadiMurmu,0,1366
25,2675334939,2022-08-01 03:52:46+00:00,Today is A Historic Day For The Nation 🇮🇳 .President-elect Smt DroupadiMurmu ji will take oath as the 15th President of…,0,478
26,2675334939,2022-08-01 03:52:39+00:00,woke: Indian feminists tweets for KamalaHarris 10000000000Indian feminists tweets for DroupadiMurmu 0Colonial slaves.,0,4438
27,1288714648854736896,2022-08-01 03:51:49+00:00,“My nomination is proof that the poor in India can not only dream but also fulfil those dreams.” A powerful message b…,0,354
28,1356506763999076356,2022-08-01 03:26:12+00:00,President DroupadiMurmu congratulates weightlifter AchintaSheuli for winning a Gold Medal in the CommonwealthGames2022TheRealTalkin (ANI),1,1
29,25641506,2022-08-01 03:04:16+00:00,President DroupadiMurmu congratulates weightlifter AchintaSheuli for winning a Gold Medal in the CommonwealthGames2022…,0,2
30,134758540,2022-08-01 03:01:15+00:00,President DroupadiMurmu congratulates weightlifter AchintaSheuli for winning a Gold Medal in the CommonwealthGames2022,18,2
31,2262532860,2022-08-01 02:56:43+00:00,President DroupadiMurmu congratulates weightlifter Achinta Sheuli for winning a Gold Medal in the CommonwealthGames2022,0,0
32,1534748159670333441,2022-08-01 02:56:19+00:00,Congratulations India ❤️PresidentofIndia DroupadiMurmu,0,1366
